square_id,model,MAE,RMSE,MAPE
5161,LSTM,93.66,134.83,11.7901
5161,TCN,80.52,117.57,9.0078
5161,Transformer,105.19,148.68,14.2104
5059,LSTM,75.65,104.18,8.5768
5059,TCN,82.56,113.71,9.8764
5059,Transformer,89.07,124.76,9.0553
5259,LSTM,71.69,99.88,8.5618
5259,TCN,64.38,91.99,7.2117
5259,Transformer,85.44,115.6,10.9945
