,MAE,RMSE,MAPE
RandomForest,91.38343733938682,136.14969396910303,7.9900457798315765
LinearRegression,97.01404576326856,139.39856516156433,10.625802855405757
SARIMA,1586.4144139308032,2264.836056444549,83.73621228618626
